ID,Full Name,Status,Employee Job Title,Birthday,Hire date,Employee Location,Employee Gender
EID2000000374,Olivia Davis,terminated,Casual Personal Support Worker,18/06/1971,21/07/2021,"46.3812,-81.0703",Male
EID2000000381,Olivia Taylor,active,Clinical Care Consultant,13/01/1972,20/02/2018,"46.53188,-80.93288",Female
EID2000000389,Emma Johnson,suspended,Full-Time Personal Support Worker,23/06/1978,25/01/2019,"46.61466,-81.00895",Female
EID2000000397,Michael Johnson,terminated,Casual Personal Support Worker,11/03/1974,10/03/2022,"46.59234,-81.3353",Female
EID2000000413,Emily Wilson,suspended,Casual Personal Support Worker,01/06/1996,04/12/2018,"46.57417,-81.20513",Female
EID2000000415,James Wilson,terminated,Casual Health Care Aid,29/05/1978,03/03/2016,"46.54838,-81.10345",Female
EID2000000417,Khan Miller,terminated,Full-Time Health Care Aid,02/11/1988,21/11/2018,"46.43857,-80.99552",Female
EID2000000426,Olivia Davis,terminated,Casual Health Care Aid,28/11/2002,15/08/2017,"46.58757,-81.34213",Male
EID2000000486,Marty Brown,terminated,Casual Personal Support Worker,23/01/1978,03/11/2021,"46.723538,-80.58036",Female
EID2000000496,Michael Wilson,terminated,Full-Time Personal Support Worker,30/05/1971,09/11/2018,"46.65978,-80.96424",Female
EID2000000498,Olivia Brown,active,Full-Time Personal Support Worker,18/09/1999,01/07/2016,"46.65515,-81.01009",Male
EID2000000500,Emma Miller,terminated,Permanent Part-Time Health Care Aid,12/10/1979,11/02/2019,"46.49874,-80.93567",Female
EID2000000509,Marty Taylor,suspended,Full-Time Personal Support Worker,22/05/1993,17/12/2018,"46.52446,-80.91579",Female
EID2000000513,Emily Johnson,terminated,Casual Personal Support Worker,23/06/1981,13/09/2018,"46.580995,-81.189227",Female
EID2000000518,James Trump,terminated,Full-Time Personal Support Worker,27/07/1983,04/01/2019,"46.50104,-80.99773",Male
EID2000000520,Michael Trump,terminated,Full Time Personal Support Worker,20/11/1992,06/11/2018,"46.50366,-81.00026",Male
EID2000000530,Emma Johnson,suspended,Full-Time Personal Support Worker,22/02/1972,19/08/2018,"46.50969,-81.00116",Male
EID2000000535,Michael Wilson,terminated,Casual Personal Support Worker,01/01/1986,03/12/2018,"46.65817,-80.94721",Male
EID2000000547,Olivia Miller,terminated,Casual Personal Support Worker,05/07/1992,28/01/2019,"46.55596,-80.86706",Male
EID2000000553,Michael Miller,terminated,Casual Personal Support Worker,12/10/1995,25/02/2018,"46.4963,-80.936355",Male
